agency,subject_race,subject_sex,subject_age,search_conducted,contraband_found,arrest_made
az_mesa_2023_01_26,0.0,1.338,1.499,100.0,100.0,0.0
az_statewide_2020_04_01,0.0,0.0,100.0,0.0,95.247,0.0
ca_los_angeles_2020_04_01,0.0,0.0,100.0,100.0,100.0,100.0
ca_long_beach_2020_04_01,0.0,0.12,4.776,100.0,100.0,100.0
ca_oakland_2020_04_01,0.0,0.068,100.0,0.0,70.72500000000001,0.0
co_aurora_2023_01_26,0.0,0.107,0.1619999999999999,100.0,100.0,100.0
ca_statewide_2023_01_26,0.0,0.0,100.0,0.0,99.853,29.875
ca_san_francisco_2020_04_01,0.0,0.0,34.097,0.0,94.061,0.0
il_chicago_2023_01_26,0.0,0.018,0.0139999999999999,0.0,100.0,0.0
fl_tampa_2020_04_01,0.0,0.024,0.06,100.0,100.0,100.0
ct_statewide_2020_04_01,0.0,0.0,0.122,0.0,95.364,0.0
ct_hartford_2020_04_01,0.0,0.0,0.021693150387765,0.0,71.88025380985954,0.0271164379847063
nc_winston-salem_2020_04_01,0.0,0.0,0.0,0.0,98.16,0.0
nc_fayetteville_2020_04_01,0.0,0.0,0.0,0.0,93.86,0.0
nc_statewide_2020_04_01,0.0,0.0,0.0,0.0,98.825,0.0
mo_statewide_2020_04_01,0.0,100.0,100.0,0.0,0.0,100.0
ne_statewide_2020_04_01,0.0,100.0,100.0,0.0,100.0,100.0
oh_columbus_2020_04_01,0.0,0.0,100.0,0.0,100.0,0.0
nc_charlotte_2020_04_01,0.0,0.0,0.0,0.0,92.834,0.0
nc_raleigh_2020_04_01,0.0,0.0,0.0,0.0,94.426,0.0
pa_philadelphia_2020_04_01,0.0,0.009,0.613,0.0,93.462,0.0
ny_statewide_2020_04_01,0.0,0.066,0.034,100.0,100.0,100.0
oh_cincinnati_2020_04_01,0.0,0.0559999999999999,100.0,100.0,100.0,0.054
or_statewide_2020_04_01,0.0,100.0,100.0,100.0,100.0,100.0
tx_arlington_2020_04_01,0.0,0.0,100.0,0.0,100.0,100.0
tx_plano_2020_04_01,0.0,0.0,100.0,0.111,94.296,3.345
va_statewide_2020_04_01,0.0,100.0,100.0,0.0,100.0,100.0
tx_statewide_2020_04_01,0.0,0.0,100.0,0.0,96.993,100.0
tx_garland_2020_04_01,0.0,0.001,100.0,100.0,100.0,100.0
tx_austin_2020_04_01,0.0,0.083,0.8370000000000001,0.0,95.732,100.0
sc_statewide_2020_04_01,0.0,0.0,0.054,0.0,97.135,0.0
