agency,subject_race,subject_sex,subject_age,search_conducted,contraband_found,arrest_made
az_mesa_2023_01_26,good,good,good,critical,critical,good
az_statewide_2020_04_01,good,good,critical,good,critical,good
ca_los_angeles_2020_04_01,good,good,critical,critical,critical,critical
ca_long_beach_2020_04_01,good,good,good,critical,critical,critical
ca_oakland_2020_04_01,good,good,critical,good,critical,good
co_aurora_2023_01_26,good,good,good,critical,critical,critical
ca_statewide_2023_01_26,good,good,critical,good,critical,warn
ca_san_francisco_2020_04_01,good,good,warn,good,critical,good
il_chicago_2023_01_26,good,good,good,good,critical,good
fl_tampa_2020_04_01,good,good,good,critical,critical,critical
ct_statewide_2020_04_01,good,good,good,good,critical,good
ct_hartford_2020_04_01,good,good,good,good,critical,good
nc_winston-salem_2020_04_01,good,good,good,good,critical,good
nc_fayetteville_2020_04_01,good,good,good,good,critical,good
nc_statewide_2020_04_01,good,good,good,good,critical,good
mo_statewide_2020_04_01,good,critical,critical,good,good,critical
ne_statewide_2020_04_01,good,critical,critical,good,critical,critical
oh_columbus_2020_04_01,good,good,critical,good,critical,good
nc_charlotte_2020_04_01,good,good,good,good,critical,good
nc_raleigh_2020_04_01,good,good,good,good,critical,good
pa_philadelphia_2020_04_01,good,good,good,good,critical,good
ny_statewide_2020_04_01,good,good,good,critical,critical,critical
oh_cincinnati_2020_04_01,good,good,critical,critical,critical,good
or_statewide_2020_04_01,good,critical,critical,critical,critical,critical
tx_arlington_2020_04_01,good,good,critical,good,critical,critical
tx_plano_2020_04_01,good,good,critical,good,critical,good
va_statewide_2020_04_01,good,critical,critical,good,critical,critical
tx_statewide_2020_04_01,good,good,critical,good,critical,critical
tx_garland_2020_04_01,good,good,critical,critical,critical,critical
tx_austin_2020_04_01,good,good,good,good,critical,critical
sc_statewide_2020_04_01,good,good,good,good,critical,good
nc_durham_2020_04_01,good,good,good,good,critical,good
nc_greensboro_2020_04_01,good,good,good,good,critical,good
tx_san_antonio_2023_01_26,good,good,good,good,critical,good
nd_statewide_2020_04_01,good,good,good,critical,critical,critical
fl_statewide_2020_04_01,good,good,good,good,critical,good
ms_statewide_2020_04_01,good,good,good,critical,critical,critical
ar_little_rock_2020_04_01,good,good,good,critical,critical,critical
ok_oklahoma_city_2023_01_26,good,good,good,critical,critical,critical
ky_louisville_2023_01_26,good,good,warn,good,critical,critical
tn_nashville_2020_04_01,good,good,good,good,critical,good
ca_bakersfield_2020_04_01,good,good,good,critical,critical,critical
ma_statewide_2020_04_01,good,good,good,good,critical,good
wi_statewide_2020_04_01,good,good,critical,good,critical,good
nv_statewide_2020_04_01,good,critical,good,critical,critical,good
mt_statewide_2023_01_26,good,good,good,good,critical,good
md_statewide_2020_04_01,good,good,critical,good,critical,good
ca_santa_ana_2020_04_01,good,good,critical,critical,critical,critical
ky_owensboro_2020_04_01,good,good,good,critical,critical,good
il_statewide_2020_04_01,good,good,critical,good,critical,critical
ca_san_diego_2020_04_01,good,good,good,good,critical,good
wy_statewide_2020_04_01,good,good,good,critical,critical,critical
ca_stockton_2020_04_01,good,good,good,good,critical,good
tn_statewide_2020_04_01,good,good,critical,critical,critical,critical
nd_grand_forks_2020_04_01,good,good,critical,critical,critical,critical
ok_tulsa_2020_04_01,good,good,critical,critical,critical,critical
nj_camden_2020_04_01,good,good,good,critical,critical,good
wi_madison_2023_01_26,good,good,critical,critical,critical,critical
vt_statewide_2020_04_01,good,good,good,good,critical,good
ks_wichita_2023_01_26,good,warn,warn,critical,critical,critical
la_new_orleans_2020_04_01,good,good,good,good,critical,good
nv_henderson_2020_04_01,good,good,good,critical,critical,critical
mi_statewide_2020_04_01,good,critical,critical,critical,critical,good
ri_statewide_2020_04_01,good,good,critical,good,critical,good
vt_burlington_2023_01_26,good,good,good,good,critical,good
ca_san_jose_2020_04_01,good,critical,critical,good,critical,good
oh_statewide_2020_04_01,good,good,critical,good,critical,good
co_statewide_2020_04_01,good,good,good,good,critical,good
mn_saint_paul_2020_04_01,good,good,critical,good,critical,critical
tx_houston_2023_01_26,warn,good,critical,critical,critical,critical
wa_statewide_2020_04_01,warn,warn,warn,good,critical,warn
ny_albany_2020_04_01,warn,good,good,critical,critical,critical
nh_statewide_2020_04_01,warn,good,warn,critical,critical,critical
ga_statewide_2020_04_01,warn,good,critical,critical,critical,critical
ia_statewide_2020_04_01,critical,warn,warn,critical,critical,critical
nj_statewide_2020_04_01,critical,good,critical,critical,critical,critical
wa_seattle_2020_04_01,critical,critical,warn,critical,critical,good
co_denver_2020_04_01,critical,critical,critical,critical,critical,good
in_fort_wayne_2020_04_01,critical,critical,critical,critical,critical,good
id_idaho_falls_2020_04_01,critical,critical,critical,critical,critical,critical
md_baltimore_2020_04_01,critical,critical,critical,critical,critical,critical
fl_saint_petersburg_2020_04_01,critical,critical,critical,critical,critical,critical
ca_anaheim_2020_04_01,critical,critical,critical,critical,critical,critical
ca_san_bernardino_2020_04_01,critical,critical,critical,critical,critical,good
tx_lubbock_2020_04_01,critical,critical,critical,critical,critical,critical
sd_statewide_2020_04_01,critical,good,critical,critical,critical,critical
wa_tacoma_2020_04_01,critical,critical,critical,critical,critical,good
az_gilbert_2020_04_01,critical,critical,critical,critical,critical,critical
